memset = .init:0x80003100; // type:function size:0x30 scope:global
__fill_mem = .init:0x80003130; // type:function size:0xB8 scope:global
memcpy = .init:0x800031E8; // type:function size:0x50 scope:global
fn_80003238 = .init:0x80003238; // type:function size:0x30
fn_80003268 = .init:0x80003268; // type:function size:0x24
gTRKInterruptVectorTable = .init:0x8000328C; // type:label scope:global
fn_800051C0 = .init:0x800051C0; // type:function size:0x2C
gTRKInterruptVectorTableEnd = .init:0x800051C0; // type:label scope:global
__check_pad3 = .init:0x800051EC; // type:function size:0x40 scope:local
__set_debug_bba = .init:0x8000522C; // type:function size:0xC scope:local
__get_debug_bba = .init:0x80005238; // type:function size:0x8 scope:local
__start = .init:0x80005240; // type:function size:0x15C scope:weak
__init_registers = .init:0x8000539C; // type:function size:0x90 scope:local
__init_data = .init:0x8000542C; // type:function size:0xC0 scope:local
__init_hardware = .init:0x800054EC; // type:function size:0x24 scope:global
__flush_cache = .init:0x80005510; // type:function size:0x34 scope:global
_rom_copy_info = .init:0x80005544; // type:object size:0x84 scope:global data:4byte
_bss_init_info = .init:0x800055C8; // type:object size:0x20 scope:global data:4byte
@etb_80005600 = extab:0x80005600; // type:object size:0x28 scope:local hidden
@etb_80005628 = extab:0x80005628; // type:object size:0x8 scope:local hidden
@etb_80005630 = extab:0x80005630; // type:object size:0x18 scope:local hidden
@etb_80005648 = extab:0x80005648; // type:object size:0x8 scope:local hidden
@etb_80005650 = extab:0x80005650; // type:object size:0x8 scope:local hidden
@etb_80005658 = extab:0x80005658; // type:object size:0x8 scope:local hidden
@etb_80005660 = extab:0x80005660; // type:object size:0x8 scope:local hidden
@etb_80005668 = extab:0x80005668; // type:object size:0x8 scope:local hidden
@etb_80005670 = extab:0x80005670; // type:object size:0x8 scope:local hidden
@etb_80005678 = extab:0x80005678; // type:object size:0x8 scope:local hidden
@etb_80005680 = extab:0x80005680; // type:object size:0x8 scope:local hidden
@etb_80005688 = extab:0x80005688; // type:object size:0x14 scope:local hidden
@etb_8000569C = extab:0x8000569C; // type:object size:0x2C scope:local hidden
@etb_800056C8 = extab:0x800056C8; // type:object size:0x8 scope:local hidden
@etb_800056D0 = extab:0x800056D0; // type:object size:0x14 scope:local hidden
@etb_800056E4 = extab:0x800056E4; // type:object size:0x8 scope:local hidden
@etb_800056EC = extab:0x800056EC; // type:object size:0x8 scope:local hidden
@eti_80005700 = extabindex:0x80005700; // type:object size:0xC scope:local hidden
@eti_8000570C = extabindex:0x8000570C; // type:object size:0xC scope:local hidden
@eti_80005718 = extabindex:0x80005718; // type:object size:0xC scope:local hidden
@eti_80005724 = extabindex:0x80005724; // type:object size:0xC scope:local hidden
@eti_80005730 = extabindex:0x80005730; // type:object size:0xC scope:local hidden
@eti_8000573C = extabindex:0x8000573C; // type:object size:0xC scope:local hidden
@eti_80005748 = extabindex:0x80005748; // type:object size:0xC scope:local hidden
@eti_80005754 = extabindex:0x80005754; // type:object size:0xC scope:local hidden
@eti_80005760 = extabindex:0x80005760; // type:object size:0xC scope:local hidden
@eti_8000576C = extabindex:0x8000576C; // type:object size:0xC scope:local hidden
@eti_80005778 = extabindex:0x80005778; // type:object size:0xC scope:local hidden
@eti_80005784 = extabindex:0x80005784; // type:object size:0xC scope:local hidden
@eti_80005790 = extabindex:0x80005790; // type:object size:0xC scope:local hidden
@eti_8000579C = extabindex:0x8000579C; // type:object size:0xC scope:local hidden
@eti_800057A8 = extabindex:0x800057A8; // type:object size:0xC scope:local hidden
@eti_800057B4 = extabindex:0x800057B4; // type:object size:0xC scope:local hidden
@eti_800057C0 = extabindex:0x800057C0; // type:object size:0xC scope:local hidden
_eti_init_info = extabindex:0x800057CC; // type:object size:0x20 scope:global
fn_80005800 = .text:0x80005800; // type:function size:0x94
fn_80005894 = .text:0x80005894; // type:function size:0x4
main = .text:0x80005898; // type:function size:0x424 scope:global
fn_80005CBC = .text:0x80005CBC; // type:function size:0x24
fn_80005CE0 = .text:0x80005CE0; // type:function size:0x24
fn_80005D04 = .text:0x80005D04; // type:function size:0x50
fn_80005D54 = .text:0x80005D54; // type:function size:0x24
fn_80005D78 = .text:0x80005D78; // type:function size:0x54
fn_80005DCC = .text:0x80005DCC; // type:function size:0x58
fn_80005E24 = .text:0x80005E24; // type:function size:0xF0
fn_80005F14 = .text:0x80005F14; // type:function size:0xC0
fn_80005FD4 = .text:0x80005FD4; // type:function size:0xC0
fn_80006094 = .text:0x80006094; // type:function size:0x288
fn_8000631C = .text:0x8000631C; // type:function size:0x38
fn_80006354 = .text:0x80006354; // type:function size:0x30
fn_80006384 = .text:0x80006384; // type:function size:0x24
fn_800063A8 = .text:0x800063A8; // type:function size:0x148
fn_800064F0 = .text:0x800064F0; // type:function size:0x28
fn_80006518 = .text:0x80006518; // type:function size:0x28
fn_80006540 = .text:0x80006540; // type:function size:0x264
fn_800067A4 = .text:0x800067A4; // type:function size:0x3B4
fn_80006B58 = .text:0x80006B58; // type:function size:0xBC
fn_80006C14 = .text:0x80006C14; // type:function size:0xC
fn_80006C20 = .text:0x80006C20; // type:function size:0x10
fn_80006C30 = .text:0x80006C30; // type:function size:0x8
fn_80006C38 = .text:0x80006C38; // type:function size:0x10
fn_80006C48 = .text:0x80006C48; // type:function size:0x138
fn_80006D80 = .text:0x80006D80; // type:function size:0xC8
fn_80006E48 = .text:0x80006E48; // type:function size:0x70
fn_80006EB8 = .text:0x80006EB8; // type:function size:0x34
fn_80006EEC = .text:0x80006EEC; // type:function size:0x260
fn_8000714C = .text:0x8000714C; // type:function size:0x4F4
fn_80007640 = .text:0x80007640; // type:function size:0x20
fn_80007660 = .text:0x80007660; // type:function size:0x10
fn_80007670 = .text:0x80007670; // type:function size:0x10
fn_80007680 = .text:0x80007680; // type:function size:0x10
fn_80007690 = .text:0x80007690; // type:function size:0x10
fn_800076A0 = .text:0x800076A0; // type:function size:0x7C
fn_8000771C = .text:0x8000771C; // type:function size:0x10
fn_8000772C = .text:0x8000772C; // type:function size:0x10
fn_8000773C = .text:0x8000773C; // type:function size:0x10
fn_8000774C = .text:0x8000774C; // type:function size:0x10
fn_8000775C = .text:0x8000775C; // type:function size:0x84
fn_800077E0 = .text:0x800077E0; // type:function size:0x10
fn_800077F0 = .text:0x800077F0; // type:function size:0x18
fn_80007808 = .text:0x80007808; // type:function size:0x38
fn_80007840 = .text:0x80007840; // type:function size:0x44
fn_80007884 = .text:0x80007884; // type:function size:0x60
fn_800078E4 = .text:0x800078E4; // type:function size:0x84
fn_80007968 = .text:0x80007968; // type:function size:0x20
fn_80007988 = .text:0x80007988; // type:function size:0x20
fn_800079A8 = .text:0x800079A8; // type:function size:0x104
fn_80007AAC = .text:0x80007AAC; // type:function size:0x10
fn_80007ABC = .text:0x80007ABC; // type:function size:0x34
fn_80007AF0 = .text:0x80007AF0; // type:function size:0x120
fn_80007C10 = .text:0x80007C10; // type:function size:0xD4
fn_80007CE4 = .text:0x80007CE4; // type:function size:0x150
fn_80007E34 = .text:0x80007E34; // type:function size:0x58
fn_80007E8C = .text:0x80007E8C; // type:function size:0x58
fn_80007EE4 = .text:0x80007EE4; // type:function size:0x88
fn_80007F6C = .text:0x80007F6C; // type:function size:0xCC
fn_80008038 = .text:0x80008038; // type:function size:0x88
fn_800080C0 = .text:0x800080C0; // type:function size:0xCC
fn_8000818C = .text:0x8000818C; // type:function size:0x70
fn_800081FC = .text:0x800081FC; // type:function size:0x24
fn_80008220 = .text:0x80008220; // type:function size:0x28
fn_80008248 = .text:0x80008248; // type:function size:0x28
fn_80008270 = .text:0x80008270; // type:function size:0x30
fn_800082A0 = .text:0x800082A0; // type:function size:0x30
fn_800082D0 = .text:0x800082D0; // type:function size:0x5A4
fn_80008874 = .text:0x80008874; // type:function size:0x24
fn_80008898 = .text:0x80008898; // type:function size:0x30
fn_800088C8 = .text:0x800088C8; // type:function size:0x30
fn_800088F8 = .text:0x800088F8; // type:function size:0x24
fn_8000891C = .text:0x8000891C; // type:function size:0x1B8
fn_80008AD4 = .text:0x80008AD4; // type:function size:0x324
fn_80008DF8 = .text:0x80008DF8; // type:function size:0x1C8
fn_80008FC0 = .text:0x80008FC0; // type:function size:0x24
fn_80008FE4 = .text:0x80008FE4; // type:function size:0x20
fn_80009004 = .text:0x80009004; // type:function size:0x4
fn_80009008 = .text:0x80009008; // type:function size:0x68
fn_80009070 = .text:0x80009070; // type:function size:0x4
fn_80009074 = .text:0x80009074; // type:function size:0x20
fn_80009094 = .text:0x80009094; // type:function size:0x6C
fn_80009100 = .text:0x80009100; // type:function size:0x4C
fn_8000914C = .text:0x8000914C; // type:function size:0x20
fn_8000916C = .text:0x8000916C; // type:function size:0x24
fn_80009190 = .text:0x80009190; // type:function size:0x24
fn_800091B4 = .text:0x800091B4; // type:function size:0x30
fn_800091E4 = .text:0x800091E4; // type:function size:0x24
fn_80009208 = .text:0x80009208; // type:function size:0x24
fn_8000922C = .text:0x8000922C; // type:function size:0x30
fn_8000925C = .text:0x8000925C; // type:function size:0x58
fn_800092B4 = .text:0x800092B4; // type:function size:0x24
fn_800092D8 = .text:0x800092D8; // type:function size:0x24
fn_800092FC = .text:0x800092FC; // type:function size:0x98
fn_80009394 = .text:0x80009394; // type:function size:0x98
fn_8000942C = .text:0x8000942C; // type:function size:0x30
fn_8000945C = .text:0x8000945C; // type:function size:0x30
fn_8000948C = .text:0x8000948C; // type:function size:0x38
fn_800094C4 = .text:0x800094C4; // type:function size:0x38
fn_800094FC = .text:0x800094FC; // type:function size:0x38
fn_80009534 = .text:0x80009534; // type:function size:0x34
fn_80009568 = .text:0x80009568; // type:function size:0x38
fn_800095A0 = .text:0x800095A0; // type:function size:0x20
fn_800095C0 = .text:0x800095C0; // type:function size:0x38
fn_800095F8 = .text:0x800095F8; // type:function size:0x38
fn_80009630 = .text:0x80009630; // type:function size:0x28
fn_80009658 = .text:0x80009658; // type:function size:0x60
fn_800096B8 = .text:0x800096B8; // type:function size:0xAC
fn_80009764 = .text:0x80009764; // type:function size:0x38
fn_8000979C = .text:0x8000979C; // type:function size:0x34
fn_800097D0 = .text:0x800097D0; // type:function size:0x4C
fn_8000981C = .text:0x8000981C; // type:function size:0x34
fn_80009850 = .text:0x80009850; // type:function size:0x38
fn_80009888 = .text:0x80009888; // type:function size:0x38
fn_800098C0 = .text:0x800098C0; // type:function size:0x48
fn_80009908 = .text:0x80009908; // type:function size:0x38
fn_80009940 = .text:0x80009940; // type:function size:0x60
fn_800099A0 = .text:0x800099A0; // type:function size:0x90
fn_80009A30 = .text:0x80009A30; // type:function size:0x68
fn_80009A98 = .text:0x80009A98; // type:function size:0x104
fn_80009B9C = .text:0x80009B9C; // type:function size:0x20
fn_80009BBC = .text:0x80009BBC; // type:function size:0x30
fn_80009BEC = .text:0x80009BEC; // type:function size:0x2C
fn_80009C18 = .text:0x80009C18; // type:function size:0x14C
fn_80009D64 = .text:0x80009D64; // type:function size:0x54
fn_80009DB8 = .text:0x80009DB8; // type:function size:0x140
fn_80009EF8 = .text:0x80009EF8; // type:function size:0x4C
fn_80009F44 = .text:0x80009F44; // type:function size:0x74
fn_80009FB8 = .text:0x80009FB8; // type:function size:0x38
fn_80009FF0 = .text:0x80009FF0; // type:function size:0x108
fn_8000A0F8 = .text:0x8000A0F8; // type:function size:0x40
fn_8000A138 = .text:0x8000A138; // type:function size:0x28
fn_8000A160 = .text:0x8000A160; // type:function size:0x28
fn_8000A188 = .text:0x8000A188; // type:function size:0x28
fn_8000A1B0 = .text:0x8000A1B0; // type:function size:0x28
fn_8000A1D8 = .text:0x8000A1D8; // type:function size:0x28
